Dog_breed,category,Popularity,Lifetime_Cost,INTELLIGENCE_ranking,Average_Lifetime,Genetic_Issues,Average_Price,Food_Cost_Per_Year,Suitability_for_Children,size_category,intelligence_category,Lifetime_Cost_GBP,Average_Purchase_Price,price_bracket,lowest_cost,highest_cost,Food_cost_per_week,Food_cost_per_year,Food_Cost_Lifetime
Border Collie,herding,45,"$20,143 ",1,12.52,2,$623 ,$324 ,High,medium,Brightest,"17,404",623,budget,175,1050,5.34,278,"3,486"
Border Terrier,terrier,80,"$22,638 ",30,14,0,$833 ,$324 ,Low,small,Above average,"19,575",833,mid-price,250,1200,5.34,278,"3,898"
Brittany,sporting,30,"$22,589 ",19,12.92,0,$618 ,$466 ,Medium,medium,Excellent,"19,503",618,budget,300,1200,7.67,400,"5,171"
Cairn Terrier,terrier,59,"$21,992 ",35,13.84,2,$435 ,$324 ,Low,small,Above average,"18,965",435,budget,300,600,5.34,278,"3,854"
Welsh Springer Spaniel,sporting,130,"$20,224 ",31,12.49,1,$750 ,$324 ,Low,medium,Above average,"17,492",750,mid-price,750,750,5.34,278,"3,478"
English Cocker Spaniel,sporting,63,"$18,993 ",18,11.66,0,$800 ,$324 ,Low,medium,Excellent,"16,442",800,mid-price,600,1000,5.34,278,"3,247"
Cocker Spaniel,sporting,27,"$24,330 ",20,12.5,2,$465 ,$674 ,Low,small,Excellent,"19,888",465,budget,250,800,9,492,"6,149"
Papillon,toy,38,"$21,001 ",8,13,5,$740 ,$324 ,Medium,small,Brightest,"18,157",740,mid-price,400,1000,5.34,278,"3,620"
Australian Cattle Dog,herding,60,"$20,395 ",10,11.67,1,$530 ,$466 ,High,medium,Brightest,"17,607",530,budget,250,1000,7.67,400,"4,671"
Shetland Sheepdog,herding,20,"$21,006 ",6,12.53,5,$465 ,$405 ,Low,small,Brightest,"17,469",465,budget,150,1000,6,295,"3,698"
Siberian Husky,working,16,"$22,049 ",45,12.58,0,$650 ,$466 ,Low,medium,Average,"19,043",650,budget,450,1000,7.67,400,"5,035"
Lhasa Apso,non-sporting,62,"$22,031 ",68,13.92,1,$350 ,$324 ,Low,small,Fair,"18,985",350,budget,175,550,5.34,278,"3,876"
Affenpinscher,toy,139,"$18,333 ",37,11.42,0,$510 ,$324 ,Medium,small,Above average,"15,835",510,budget,200,800,5.34,278,"3,180"
Dachshund,hound,9,"$20,113 ",49,12.63,2,$423 ,$324 ,High,small,Average,"17,350",423,budget,125,750,5.34,278,"3,517"
Miniature Schnauzer,terrier,12,"$20,087 ",12,11.81,2,$715 ,$405 ,Medium,small,Excellent,"16,753",715,mid-price,200,1600,6,295,"3,486"
Chihuahua,toy,14,"$26,250 ",67,16.5,1,$588 ,$324 ,High,small,Fair,"22,640",588,budget,200,1500,5.34,278,"4,594"
Australian Terrier,terrier,121,"$17,892 ",34,11.05,0,$640 ,$324 ,Medium,small,Above average,"15,475",640,budget,200,900,5.34,278,"3,077"
Whippet,hound,57,"$20,976 ",51,12.87,0,$915 ,$324 ,Medium,medium,Average,"18,160",915,mid-price,650,1200,5.34,278,"3,584"
English Springer Spaniel,sporting,29,"$21,946 ",13,12.54,4,$615 ,$466 ,Low,medium,Excellent,"18,950",615,budget,450,1500,7.67,400,"5,019"
West Highland White Terrier,terrier,35,"$20,490 ",47,12.8,3,$538 ,$324 ,Low,small,Average,"17,690",538,budget,275,750,5.34,278,"3,564"
Bedlington Terrier,terrier,134,"$22,107 ",40,13.51,2,"$1,058 ",$324 ,Medium,small,Average,"19,151","1,058",mid-price,250,1800,5.34,278,"3,762"
Poodle,non-sporting,8,"$21,237 ",2,11.95,2,$900 ,$466 ,Medium,medium,Brightest,"18,382",900,mid-price,500,1500,7.67,400,"4,783"
Bichon Frise,non-sporting,39,"$19,735 ",45,12.21,0,$693 ,$324 ,Low,small,Average,"17,063",693,budget,250,1500,5.34,278,"3,400"
German Shorthaired Pointer,sporting,15,"$25,842 ",17,11.46,1,$545 ,$971 ,Low,large,Excellent,"20,849",545,budget,200,850,14,708,"8,117"
Pointer,sporting,115,"$24,445 ",43,12.42,1,$294 ,$710 ,Low,large,Average,"21,049",294,budget,50,500,11.67,609,"7,565"
Tibetan Spaniel,non-sporting,114,"$25,549 ",46,14.42,0,"$1,050 ",$466 ,Low,small,Average,"22,104","1,050",mid-price,500,2000,7.67,400,"5,772"
Labrador Retriever,sporting,1,"$21,299 ",7,12.04,3,$810 ,$466 ,Low,medium,Brightest,"18,422",810,mid-price,299,1500,7.67,400,"4,819"
